pacSelector,kind,owner,principalId,lastChange,category,displayName,id
quick-start,Assignment(PolicySet-Custom),unknown,5a5cd8dc-b7f1-4ecd-827f-dc0379086271,2026-02-24T08:32:03.678306Z,,MCAPSGov Audit Policies,/providers/Microsoft.Management/managementGroups/2d3522cb-b8b3-4f1e-9311-000f54e5c96f/providers/Microsoft.Authorization/policyAssignments/MCAPSGovAuditPolicies
quick-start,Assignment(PolicySet-Custom),unknown,5a5cd8dc-b7f1-4ecd-827f-dc0379086271,2026-02-24T08:32:01.963588Z,,MCAPSGov Deny Policies,/providers/Microsoft.Management/managementGroups/2d3522cb-b8b3-4f1e-9311-000f54e5c96f/providers/Microsoft.Authorization/policyAssignments/MCAPSGovDenyPolicies
quick-start,Assignment(PolicySet-Custom),unknown,5a5cd8dc-b7f1-4ecd-827f-dc0379086271,2026-02-24T08:32:02.8594041Z,,MCAPSGov Deploy and Modify Policies,/providers/Microsoft.Management/managementGroups/2d3522cb-b8b3-4f1e-9311-000f54e5c96f/providers/Microsoft.Authorization/policyAssignments/MCAPSGovDeployPolicies
quick-start,Assignment(Policy-Builtin),microsoft,a5d3f4a1-46f7-4e1b-8cec-399838af90b5,2026-04-06T06:16:41.3822139Z,,Microsoft Azure Multi Factor Authentication Enforcement for Resource Delete Actions,/providers/Microsoft.Management/managementGroups/2d3522cb-b8b3-4f1e-9311-000f54e5c96f/providers/Microsoft.Authorization/policyAssignments/sys.mfa-delete
quick-start,Assignment(Policy-Builtin),microsoft,a5d3f4a1-46f7-4e1b-8cec-399838af90b5,2026-04-06T06:24:53.8258093Z,,Microsoft Azure Multi Factor Authentication Enforcement for Resource Write Actions,/providers/Microsoft.Management/managementGroups/2d3522cb-b8b3-4f1e-9311-000f54e5c96f/providers/Microsoft.Authorization/policyAssignments/sys.mfa-write
quick-start,Assignment(Policy-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:33.7532066Z,,Resource Group and Resource locations should match,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Audit-ResourceRGLocation
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:33.6509195Z,,Audit virtual machines for Trusted Launch support,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Audit-TrustedLaunch
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:34.8042931Z,,Unused resources driving cost should be avoided,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Audit-UnusedResources
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:35.8251872Z,,Resources should be Zone Resilient,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Audit-ZoneResiliency
quick-start,Assignment(Policy-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:35.9992335Z,,Deny the deployment of classic resources,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Deny-Classic-Resources
quick-start,Assignment(Policy-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:34.0734943Z,,Deny virtual machines and virtual machine scale sets that do not use managed disk,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Deny-UnmanagedDisk
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:37.0371991Z,,Microsoft Cloud Security Benchmark,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Deploy-ASC-Monitoring
quick-start,Assignment(Policy-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:37.6385114Z,,Configure Azure Activity logs to stream to specified Log Analytics workspace,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Deploy-AzActivity-Log
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:35.353896Z,,Enable category group resource logging for supported resources to Log Analytics,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Deploy-Diag-LogsCat
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:35.970055Z,,Microsoft Cloud Security Benchmark v2,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Deploy-MCSB2-Monitoring
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:37.5716404Z,,[[Preview]: Deploy Microsoft Defender for Endpoint agent,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Deploy-MDEndpoints
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:36.480953Z,,Configure multiple Microsoft Defender for Endpoint integration settings with Microsoft Defender for Cloud,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Deploy-MDEndpointsAMA
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:36.3806368Z,,Deploy Microsoft Defender for Cloud configuration,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Deploy-MDFC-Config-H224
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:24:34.3281446Z,,Configure Advanced Threat Protection to be enabled on open-source relational databases,/providers/Microsoft.Management/managementGroups/mgmt-alz/providers/Microsoft.Authorization/policyAssignments/Deploy-MDFC-OssDb
